,dyad,ec,ec_avg
801,D002,0.0,0.287
802,D002,0.0,0.0
803,D002,0.0,0.0
804,D002,0.0,0.0
805,D002,0.0,0.0
806,D002,0.0,0.0
807,D002,0.0,0.0
808,D002,0.0,0.005
809,D002,1.0,1.0
810,D002,1.0,0.234
811,D002,0.0,0.513
812,D002,0.0,0.705
813,D002,1.0,0.529
814,D002,0.0,0.0
815,D002,0.0,0.134
816,D002,0.0,0.0
817,D002,0.0,0.0
818,D002,0.0,0.236
819,D002,0.0,0.0
820,D002,0.0,0.0
821,D002,0.0,0.36
822,D002,1.0,0.484
823,D002,0.0,0.016
824,D002,1.0,0.274
825,D002,0.0,0.0
826,D002,0.0,0.0
827,D002,0.0,0.234
828,D002,0.0,0.675
829,D002,1.0,0.304
830,D002,0.0,0.0
831,D002,0.0,0.0
832,D002,0.0,0.0
833,D002,0.0,0.41
834,D002,1.0,0.499
835,D002,0.0,0.0
836,D002,0.0,0.324
837,D002,0.0,0.0
838,D002,0.0,0.0
839,D002,0.0,0.0
840,D002,0.0,0.0
841,D002,0.0,0.0
842,D002,0.0,0.0
843,D002,0.0,0.0
844,D002,0.0,0.0
845,D002,0.0,0.0
846,D002,0.0,0.0
847,D002,0.0,0.0
848,D002,0.0,0.0
849,D002,0.0,0.88
850,D002,1.0,0.394
851,D002,0.0,0.0
852,D002,0.0,0.0
853,D002,0.0,0.103
854,D002,1.0,0.094
855,D002,0.0,0.0
856,D002,0.0,0.0
857,D002,0.0,0.0
858,D002,0.0,0.0
859,D002,0.0,0.305
860,D002,1.0,0.784
861,D002,0.0,0.344
862,D002,0.0,0.0
863,D002,0.0,0.005
864,D002,1.0,0.479
865,D002,0.0,0.17
866,D002,1.0,1.0
867,D002,1.0,1.0
868,D002,1.0,0.084
869,D002,0.0,0.577
870,D002,1.0,0.119
871,D002,0.0,0.0
872,D002,0.0,0.274
873,D002,1.0,0.361
874,D002,0.0,0.43
875,D002,1.0,0.784
876,D002,0.0,0.0
877,D002,0.0,0.0
878,D002,0.0,0.0
879,D002,0.0,0.0
880,D002,0.0,0.0
881,D002,0.0,0.419
882,D002,0.0,0.0
883,D002,0.0,0.0
884,D002,0.0,0.0
885,D002,0.0,0.0
886,D002,0.0,0.0
887,D002,0.0,0.0
888,D002,0.0,0.0
889,D002,0.0,0.0
890,D002,0.0,0.0
891,D002,0.0,0.0
892,D002,0.0,0.0
893,D002,0.0,0.0
894,D002,0.0,0.0
895,D002,0.0,0.22
896,D002,1.0,1.0
897,D002,1.0,0.324
898,D002,0.0,0.185
899,D002,1.0,1.0
900,D002,1.0,0.069
901,D002,0.0,0.0
902,D002,0.0,0.0
